,model_name,prompt_id,dimension_name,metric_type,spearman_gap,spearman_hh,spearman_llm_avg
3,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,completeness,Spearman,-0.03373640823552293,0.5869071325063648,0.6206435407418878
5,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,relevance,Spearman,-0.0073970827958635965,0.5869071325063648,0.5943042153022284
2,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,relevance,Spearman,-0.003742561743991013,0.5869071325063648,0.5906496942503559
0,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,completeness,Spearman,0.028612863587635262,0.5869071325063648,0.5582942689187296
6,Qwen/Qwen3-4B-Instruct-2507,83458ec049,holistic,Spearman,0.03366448034730363,0.5869071325063648,0.5532426521590612
12,google/gemma-3-4b-it,2f16b595bed1,relevance,Spearman,0.04159650965842698,0.5869071325063648,0.5453106228479379
4,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,directness,Spearman,0.053667406337280954,0.5869071325063648,0.5332397261690839
1,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,directness,Spearman,0.0625884802046579,0.5869071325063648,0.5243186523017069
9,google/gemma-3-4b-it,080be5c39ffc,relevance,Spearman,0.06750165408491415,0.5869071325063648,0.5194054784214507
7,google/gemma-3-4b-it,080be5c39ffc,completeness,Spearman,0.08775928583537673,0.5869071325063648,0.4991478466709881
13,google/gemma-3-4b-it,83458ec049,holistic,Spearman,0.08834206229029806,0.5869071325063648,0.4985650702160668
10,google/gemma-3-4b-it,2f16b595bed1,completeness,Spearman,0.09576547496921217,0.5869071325063648,0.49114165753715266
8,google/gemma-3-4b-it,080be5c39ffc,directness,Spearman,0.11439330226977756,0.5869071325063648,0.4725138302365873
11,google/gemma-3-4b-it,2f16b595bed1,directness,Spearman,0.11929601762154307,0.5869071325063648,0.46761111488482177
