,model_name,prompt_id,dimension_name,human_disagreement,entropy
0,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,completeness,0,0.25371498
1,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,completeness,1,0.399135
2,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,completeness,2,0.36820734
3,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,completeness,3,0.17919767
4,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,directness,0,0.32256582
5,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,directness,1,0.49215263
6,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,directness,2,0.50620437
7,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,directness,3,0.49092823
8,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,relevance,0,0.016882932
9,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,relevance,1,0.042393595
10,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,relevance,2,0.019629486
11,Qwen/Qwen3-4B-Instruct-2507,080be5c39ffc,relevance,3,0.008172508
12,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,completeness,0,0.061641093
13,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,completeness,1,0.0892151
14,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,completeness,2,0.12382568
15,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,completeness,3,0.15042111
16,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,directness,0,0.062306326
17,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,directness,1,0.08656709
18,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,directness,2,0.17353952
19,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,directness,3,0.24358687
20,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,relevance,0,0.0045729675
21,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,relevance,1,0.0014200071
22,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,relevance,2,0.00056703587
23,Qwen/Qwen3-4B-Instruct-2507,2f16b595bed1,relevance,3,9.422458e-05
24,Qwen/Qwen3-4B-Instruct-2507,83458ec049,holistic,0,0.018580617
25,Qwen/Qwen3-4B-Instruct-2507,83458ec049,holistic,1,0.15832242
26,Qwen/Qwen3-4B-Instruct-2507,83458ec049,holistic,2,0.18954791
27,Qwen/Qwen3-4B-Instruct-2507,83458ec049,holistic,3,0.1158252
28,google/gemma-3-4b-it,080be5c39ffc,completeness,0,0.010049573
29,google/gemma-3-4b-it,080be5c39ffc,completeness,1,0.0089063505
30,google/gemma-3-4b-it,080be5c39ffc,completeness,2,0.007860793
31,google/gemma-3-4b-it,080be5c39ffc,completeness,3,0.0062056486
32,google/gemma-3-4b-it,080be5c39ffc,directness,0,0.0050509456
33,google/gemma-3-4b-it,080be5c39ffc,directness,1,0.0054785814
34,google/gemma-3-4b-it,080be5c39ffc,directness,2,0.00572553
35,google/gemma-3-4b-it,080be5c39ffc,directness,3,0.0063898214
36,google/gemma-3-4b-it,080be5c39ffc,relevance,0,0.0011186587
37,google/gemma-3-4b-it,080be5c39ffc,relevance,1,0.0013118511
38,google/gemma-3-4b-it,080be5c39ffc,relevance,2,0.0007489579
39,google/gemma-3-4b-it,080be5c39ffc,relevance,3,0.0013028958
40,google/gemma-3-4b-it,2f16b595bed1,completeness,0,0.015202423
41,google/gemma-3-4b-it,2f16b595bed1,completeness,1,0.012957742
42,google/gemma-3-4b-it,2f16b595bed1,completeness,2,0.009585143
43,google/gemma-3-4b-it,2f16b595bed1,completeness,3,0.016907519
44,google/gemma-3-4b-it,2f16b595bed1,directness,0,0.010072844
45,google/gemma-3-4b-it,2f16b595bed1,directness,1,0.009201901
46,google/gemma-3-4b-it,2f16b595bed1,directness,2,0.010164982
47,google/gemma-3-4b-it,2f16b595bed1,directness,3,0.016215287
48,google/gemma-3-4b-it,2f16b595bed1,relevance,0,0.0036805246
49,google/gemma-3-4b-it,2f16b595bed1,relevance,1,0.0036962396
50,google/gemma-3-4b-it,2f16b595bed1,relevance,2,0.0028554217
51,google/gemma-3-4b-it,2f16b595bed1,relevance,3,0.0020374288
52,google/gemma-3-4b-it,83458ec049,holistic,0,0.0152317295
53,google/gemma-3-4b-it,83458ec049,holistic,1,0.014825953
54,google/gemma-3-4b-it,83458ec049,holistic,2,0.01072561
55,google/gemma-3-4b-it,83458ec049,holistic,3,0.010323898
